,date,fighter_fighter,opponent,result,method,form_skore_fighter,form_skore_opponent,ground_def_skill_fighter,ground_att_skill_fighter,stand_def_skill_fighter,stand_att_skill_fighter,stamina_fighter,ground_def_skill_opponent,ground_att_skill_opponent,stand_def_skill_opponent,stand_att_skill_opponent,stamina_opponent
0,1998-03-13,Jerry Bohlander,Kevin Jackson,1,SUB,0.30000000000000004,0.4,1.204017857142857,2.0012368583797153,1.8101189755999192,0.21274023500309214,0.3,0.75,1.5233766233766233,2.2389705882352944,0.0,0.0
1,1997-07-27,Tony Fryklund,Kevin Jackson,0,SUB,0.0,0.0,0.34278523489932883,1.8681402439024393,1.01457448014928,0.828201595005066,0.2,0.75,1.5233766233766233,2.2389705882352944,0.0,0.0
2,1997-12-21,Frank Shamrock,Kevin Jackson,1,SUB,0.0,0.30000000000000004,1.2385845767592365,1.4151412429378531,2.3678481331161243,1.230636862097814,1.2,0.75,1.5233766233766233,2.2389705882352944,0.0,0.0
3,1999-01-08,Jerry Bohlander,Tito Ortiz,0,KO/TKO,0.6000000000000001,0.1,1.204017857142857,2.0012368583797153,1.8101189755999192,0.21274023500309214,0.3,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
4,2005-02-05,Vitor Belfort,Tito Ortiz,0,S-DEC,0.5,0.5,1.025645574703315,0.2969401773448233,1.2189474023621196,1.1652367829860186,0.2,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
5,2003-09-26,Randy Couture,Tito Ortiz,1,U-DEC,0.5,1.5,1.183300464558443,1.6667054791248685,0.6700729280981974,0.9265283088075545,1.3916666666666666,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
6,1999-09-24,Frank Shamrock,Tito Ortiz,1,KO/TKO,1.0,0.4,1.2385845767592365,1.4151412429378531,2.3678481331161243,1.230636862097814,1.2,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
7,2004-04-02,Chuck Liddell,Tito Ortiz,1,KO/TKO,1.3,1.3,1.5294077236404384,0.2467583359846045,1.2115708003776808,1.1605776854403032,1.5533333333333332,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
8,2006-12-30,Chuck Liddell,Tito Ortiz,1,KO/TKO,1.5,1.5,1.5294077236404384,0.2467583359846045,1.2115708003776808,1.1605776854403032,1.5533333333333332,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
9,2000-04-14,Wanderlei Silva,Tito Ortiz,0,U-DEC,-0.1,0.5,1.1199104632207493,0.1066610983503863,1.1162620378639934,1.1101232082181585,0.5,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
10,2001-02-23,Evan Tanner,Tito Ortiz,0,KO/TKO,0.6000000000000001,0.9,1.3896126924747343,1.4979728707752387,0.5118124163052086,0.9688524982113991,0.5,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
11,2001-06-29,Elvis Sinosic,Tito Ortiz,0,KO/TKO,0.1,0.7000000000000001,0.2793081882036798,0.2938459993976509,0.668445910553207,0.3389387183344146,0.0,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
12,2001-09-28,Vladimir Matyushenko,Tito Ortiz,0,U-DEC,0.1,0.5,1.0732376415192078,0.6073951222197754,0.7989201111973336,0.8318132990932521,0.6,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
13,2002-11-22,Ken Shamrock,Tito Ortiz,0,KO/TKO,0.0,1.5,0.4743865322144716,0.20661654135338348,0.0,0.606313321141585,0.0,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
14,2006-07-08,Ken Shamrock,Tito Ortiz,0,KO/TKO,-0.20000000000000004,-0.29999999999999993,0.4743865322144716,0.20661654135338348,0.0,0.606313321141585,0.0,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
15,2006-10-10,Ken Shamrock,Tito Ortiz,0,KO/TKO,-0.4,0.5,0.4743865322144716,0.20661654135338348,0.0,0.606313321141585,0.0,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
16,2004-10-22,Patrick Cote,Tito Ortiz,0,U-DEC,0.0,0.9,0.6252110942689214,0.16377404675638366,1.0488728678428185,0.7038706683716576,0.33999999999999997,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
17,2006-04-15,Forrest Griffin,Tito Ortiz,0,S-DEC,0.6000000000000001,0.09999999999999998,1.323310233917679,0.5447053666922104,0.9782300280438209,0.48803208038482326,1.4666666666666668,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
18,2009-11-21,Forrest Griffin,Tito Ortiz,1,S-DEC,0.9,0.29999999999999993,1.323310233917679,0.5447053666922104,0.9782300280438209,0.48803208038482326,1.4666666666666668,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
19,2012-07-07,Forrest Griffin,Tito Ortiz,1,U-DEC,-0.5,-0.9,1.323310233917679,0.5447053666922104,0.9782300280438209,0.48803208038482326,1.4666666666666668,1.305346771686067,1.14386765859478,0.9908535601007306,0.9281383647557508,0.8393939393939394
